History Length,Forecast Length,Units,Epochs,Loss
250,10,[160],6,0.018729650008867657
250,10,[40],7,0.012336008308888074
250,10,[80],6,0.009349344467423618
250,10,[40],3,0.011835242205587496
250,10,[60],3,0.011014308340323443
250,10,[200],3,0.0207557158630232
250,10,[200],8,0.006758110449819349
250,10,[140],3,0.023427438162742325
250,10,[100],7,0.009398395979944633
250,10,[80],8,0.007423386264385077
250,10,[100],3,0.01188235104583827
250,10,[140],5,0.01765129425764839
250,10,[200],7,0.009293688123216721
250,10,[100],8,0.007257885097972705
250,10,[140],9,0.006815895090159269
250,10,[40],8,0.00732998602627786
250,10,[100],9,0.006290300136205115
250,10,[160],10,0.0063790044311310135
250,10,[20],10,0.006483762945930427
250,10,[120],10,0.005929826297793035
250,10,[20],6,0.01314571976096953
250,10,[40],6,0.022297183159579424
250,10,[100],4,0.017042672399193413
250,10,[200],4,0.018926702239735457
250,10,[20],4,0.011794085430168445
250,10,[80],4,0.012220323728368955
250,10,[20],8,0.007774269628271814
250,10,[160],8,0.00689461419836836
250,10,[120],8,0.007975209747855058
250,10,[140],4,0.02240518053491848
250,10,[200],9,0.0065329774642649534
250,10,[40],4,0.01759200898576395
250,10,[180],10,0.006294386830066178
250,10,[100],10,0.006693354217571557
250,10,[20],5,0.013441559565408092
250,10,[100],5,0.010352862424058888
250,10,[200],6,0.025085233191143433
250,10,[60],5,0.012758015929838605
250,10,[120],6,0.01533480792817309
250,10,[60],6,0.016187248835561184
250,10,[200],5,0.03483485895602874
250,10,[160],7,0.00835641099241651
250,10,[20],7,0.006296629147921677
250,10,[60],8,0.006334344772904763
250,10,[180],8,0.007548019236101747
250,10,[20],9,0.007745777100915349
250,10,[40],9,0.006822060955385593
250,10,[120],9,0.007224851977862851
250,10,[80],9,0.006271045559939069
250,10,[60],9,0.00618720956079356
250,10,[40],10,0.006024777048817575
250,10,[140],10,0.006100250642320689
250,10,[80],10,0.00625539783611706
250,10,[80],7,0.0070271593317468364
250,10,[180],7,0.00962949569829567
250,10,[180],9,0.006372012330642357
250,10,[200],10,0.006299041530512869
250,10,[60],10,0.006545220282016925
300,10,[100],4,0.016479038452574663
300,10,[180],4,0.012668872999278505
300,10,[60],4,0.023991299823889468
300,10,[60],8,0.007347677674580792
300,10,[20],8,0.008178013899837867
300,10,[200],9,0.006854240921620841
300,10,[20],9,0.006662109537662367
300,10,[60],2,0.008718803385849226
300,10,[160],4,0.017112220142304728
300,10,[180],5,0.016534236011660732
300,10,[100],7,0.007666546009101825
300,10,[100],8,0.006565723672027465
300,10,[140],9,0.006329120950933354
300,10,[40],1,0.022477284427292226
300,10,[60],1,0.03920581955976581
300,10,[120],1,0.03604971294449026
300,10,[100],1,0.0335180233766225
300,10,[140],1,0.05901427001890077
300,10,[180],1,0.031054267232747887
300,10,[80],1,0.0262158878939344
300,10,[20],1,0.014291914820489316
300,10,[100],2,0.011755790975590099
300,10,[200],1,0.06005651575628574
300,10,[120],2,0.01456081815613276
300,10,[160],1,0.03689989302199276
300,10,[40],2,0.012127854722360784
300,10,[80],2,0.009397966411458805
300,10,[140],3,0.021602987478485963
300,10,[180],2,0.011395151409311117
300,10,[140],2,0.013639672699363309
300,10,[200],5,0.036922244124100355
300,10,[120],3,0.02253384957370421
300,10,[200],2,0.012586315514369823
300,10,[160],2,0.015121831970352658
300,10,[60],3,0.016492180331434205
300,10,[200],3,0.016048248153995335
300,10,[80],4,0.009660972265492836
300,10,[120],6,0.008814898278468784
300,10,[120],7,0.011649010959694546
300,10,[40],5,0.01617183060505339
300,10,[20],2,0.010976561025330225
300,10,[20],3,0.015513639173674933
300,10,[20],5,0.013177956382798265
300,10,[40],4,0.01930127010576519
300,10,[180],8,0.006559134534942008
300,10,[140],7,0.0076550696532523095
300,10,[40],6,0.024307251435870175
300,10,[80],9,0.006483000384446526
300,10,[200],10,0.00612782524700105
300,10,[160],7,0.007231353671181818
300,10,[140],10,0.006602415381518206
300,10,[80],5,0.009279515530576229
300,10,[120],5,0.01880877692664207
300,10,[20],7,0.014500300659808691
300,10,[120],8,0.007353637122840282
300,10,[100],5,0.010468858422357572
300,10,[100],3,0.014909408404814558
300,10,[40],3,0.017121532933069714
300,10,[180],9,0.006403207802238966
300,10,[140],6,0.00817178109617644
300,10,[100],9,0.0063674828218192835
300,10,[160],10,0.006144742512889551
300,10,[60],10,0.006097726966967947
300,10,[180],7,0.007608115990773338
300,10,[180],3,0.024580787866823654
300,10,[80],3,0.015874940947954462
300,10,[160],3,0.029470203930988325
300,10,[140],4,0.01751039148038771
300,10,[200],4,0.020775687647709387
300,10,[20],4,0.009824118263184477
300,10,[80],8,0.007210955149866541
300,10,[40],8,0.009121730197193801
300,10,[100],10,0.0065368791453591394
300,10,[80],10,0.0064103253025560615
300,10,[140],5,0.014914399302916869
300,10,[120],4,0.021598563539168333
300,10,[60],6,0.015458869600379054
300,10,[60],5,0.01584303901466274
300,10,[160],5,0.01948102820029206
300,10,[80],7,0.009624933155272615
300,10,[80],6,0.012121587060124289
300,10,[100],6,0.011501263553415153
300,10,[200],6,0.0074917926135890925
300,10,[20],6,0.015159661265221593
300,10,[160],6,0.010806524489252333
300,10,[140],8,0.0064955180682399185
300,10,[120],9,0.006649878288024089
300,10,[180],6,0.011264525436076438
300,10,[200],7,0.0079233032477595
300,10,[40],7,0.010455491331224018
300,10,[180],10,0.006329417364679477
300,10,[40],10,0.0061620016638723836
300,10,[160],8,0.0073247023392136925
300,10,[200],8,0.007027302047506956
300,10,[60],7,0.01843535255442151
300,10,[20],10,0.006224765127232441
300,10,[120],10,0.006342849199386639
